Graph with 10000 vertices and 156862 edges
Max alpha: 13.4750726865
Accuracy (alpha=0.00): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.10): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.20): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.30): 0.50, pos: 0.01, neg: 1.00
Accuracy (alpha=0.40): 0.51, pos: 0.02, neg: 1.00
Accuracy (alpha=0.50): 0.52, pos: 0.05, neg: 1.00
Accuracy (alpha=0.60): 0.54, pos: 0.08, neg: 1.00
Accuracy (alpha=0.70): 0.56, pos: 0.12, neg: 1.00
Accuracy (alpha=0.80): 0.58, pos: 0.16, neg: 1.00
Accuracy (alpha=0.90): 0.60, pos: 0.21, neg: 0.99
Accuracy (alpha=1.00): 0.63, pos: 0.27, neg: 0.99
Accuracy (alpha=1.10): 0.65, pos: 0.32, neg: 0.99
Accuracy (alpha=1.20): 0.68, pos: 0.37, neg: 0.99
Accuracy (alpha=1.30): 0.70, pos: 0.43, neg: 0.98
Accuracy (alpha=1.40): 0.73, pos: 0.47, neg: 0.98
Accuracy (alpha=1.50): 0.75, pos: 0.52, neg: 0.97
Accuracy (alpha=1.60): 0.77, pos: 0.57, neg: 0.97
Accuracy (alpha=1.70): 0.78, pos: 0.60, neg: 0.96
Accuracy (alpha=1.80): 0.80, pos: 0.64, neg: 0.96
Accuracy (alpha=1.90): 0.81, pos: 0.67, neg: 0.95
Accuracy (alpha=2.00): 0.82, pos: 0.71, neg: 0.94
Accuracy (alpha=2.10): 0.83, pos: 0.73, neg: 0.94
Accuracy (alpha=2.20): 0.84, pos: 0.76, neg: 0.93
Accuracy (alpha=2.30): 0.85, pos: 0.78, neg: 0.92
Accuracy (alpha=2.40): 0.85, pos: 0.80, neg: 0.91
Accuracy (alpha=2.50): 0.86, pos: 0.82, neg: 0.90
Accuracy (alpha=2.60): 0.86, pos: 0.83, neg: 0.88
Accuracy (alpha=2.70): 0.86, pos: 0.85, neg: 0.87
Accuracy (alpha=2.80): 0.86, pos: 0.86, neg: 0.86
Accuracy (alpha=2.90): 0.86, pos: 0.88, neg: 0.85
Accuracy (alpha=3.00): 0.86, pos: 0.89, neg: 0.83
Accuracy (alpha=3.10): 0.86, pos: 0.90, neg: 0.82
