Graph with 100 vertices and 263 edges
Max alpha: 4.34393744709
Accuracy (alpha=0.00): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.10): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.20): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.30): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=0.40): 0.52, pos: 0.03, neg: 1.00
Accuracy (alpha=0.50): 0.63, pos: 0.27, neg: 1.00
Accuracy (alpha=0.60): 0.63, pos: 0.27, neg: 1.00
Accuracy (alpha=0.70): 0.67, pos: 0.33, neg: 1.00
Accuracy (alpha=0.80): 0.65, pos: 0.33, neg: 0.97
Accuracy (alpha=0.90): 0.63, pos: 0.37, neg: 0.90
Accuracy (alpha=1.00): 0.65, pos: 0.43, neg: 0.87
Accuracy (alpha=1.10): 0.78, pos: 0.73, neg: 0.83
Accuracy (alpha=1.20): 0.77, pos: 0.80, neg: 0.73
Accuracy (alpha=1.30): 0.78, pos: 0.83, neg: 0.73
Accuracy (alpha=1.40): 0.78, pos: 0.83, neg: 0.73
Accuracy (alpha=1.50): 0.78, pos: 0.87, neg: 0.70
Accuracy (alpha=1.60): 0.82, pos: 0.93, neg: 0.70
Accuracy (alpha=1.70): 0.80, pos: 0.97, neg: 0.63
Accuracy (alpha=1.80): 0.73, pos: 0.97, neg: 0.50
Accuracy (alpha=1.90): 0.73, pos: 1.00, neg: 0.47
Accuracy (alpha=2.00): 0.72, pos: 1.00, neg: 0.43
Accuracy (alpha=2.10): 0.67, pos: 1.00, neg: 0.33
Accuracy (alpha=2.20): 0.62, pos: 1.00, neg: 0.23
Accuracy (alpha=2.30): 0.60, pos: 1.00, neg: 0.20
Accuracy (alpha=2.40): 0.60, pos: 1.00, neg: 0.20
Accuracy (alpha=2.50): 0.60, pos: 1.00, neg: 0.20
Accuracy (alpha=2.60): 0.57, pos: 1.00, neg: 0.13
Accuracy (alpha=2.70): 0.53, pos: 1.00, neg: 0.07
Accuracy (alpha=2.80): 0.53, pos: 1.00, neg: 0.07
Accuracy (alpha=2.90): 0.53, pos: 1.00, neg: 0.07
Accuracy (alpha=3.00): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.10): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.20): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.30): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.40): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.50): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.60): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.70): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.80): 0.52, pos: 1.00, neg: 0.03
Accuracy (alpha=3.90): 0.52, pos: 1.00, neg: 0.03
