Graph with 10000 vertices and 156862 edges
Max alpha: 716.574369416
Accuracy (alpha=0): 0.50, pos: 0.00, neg: 1.00
Accuracy (alpha=1): 0.56, pos: 0.14, neg: 0.99
Accuracy (alpha=2): 0.67, pos: 0.36, neg: 0.97
Accuracy (alpha=3): 0.73, pos: 0.51, neg: 0.94
Accuracy (alpha=4): 0.76, pos: 0.61, neg: 0.91
Accuracy (alpha=5): 0.77, pos: 0.68, neg: 0.87
Accuracy (alpha=6): 0.78, pos: 0.73, neg: 0.82
Accuracy (alpha=7): 0.78, pos: 0.77, neg: 0.79
Accuracy (alpha=8): 0.77, pos: 0.80, neg: 0.75
Accuracy (alpha=9): 0.76, pos: 0.82, neg: 0.71
Accuracy (alpha=10): 0.76, pos: 0.84, neg: 0.67
Accuracy (alpha=11): 0.75, pos: 0.85, neg: 0.65
Accuracy (alpha=12): 0.74, pos: 0.86, neg: 0.62
Accuracy (alpha=13): 0.73, pos: 0.87, neg: 0.60
Accuracy (alpha=14): 0.73, pos: 0.87, neg: 0.58
Accuracy (alpha=15): 0.72, pos: 0.88, neg: 0.57
Accuracy (alpha=16): 0.72, pos: 0.88, neg: 0.55
Accuracy (alpha=17): 0.71, pos: 0.88, neg: 0.54
Accuracy (alpha=18): 0.71, pos: 0.88, neg: 0.54
Accuracy (alpha=19): 0.71, pos: 0.88, neg: 0.53
Accuracy (alpha=20): 0.71, pos: 0.88, neg: 0.53
Accuracy (alpha=21): 0.70, pos: 0.88, neg: 0.52
Accuracy (alpha=22): 0.70, pos: 0.88, neg: 0.52
Accuracy (alpha=23): 0.70, pos: 0.89, neg: 0.52
Accuracy (alpha=24): 0.70, pos: 0.89, neg: 0.52
Accuracy (alpha=25): 0.70, pos: 0.89, neg: 0.52
Accuracy (alpha=26): 0.70, pos: 0.89, neg: 0.52
Accuracy (alpha=27): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=28): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=29): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=30): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=31): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=32): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=33): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=34): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=35): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=36): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=37): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=38): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=39): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=40): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=41): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=42): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=43): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=44): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=45): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=46): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=47): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=48): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=49): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=50): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=51): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=52): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=53): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=54): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=55): 0.70, pos: 0.89, neg: 0.51
Accuracy (alpha=56): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=57): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=58): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=59): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=60): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=61): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=62): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=63): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=64): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=65): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=66): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=67): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=68): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=69): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=70): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=71): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=72): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=73): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=74): 0.70, pos: 0.89, neg: 0.50
Accuracy (alpha=75): 0.70, pos: 0.89, neg: 0.50
