vertices,edges,expectedEdges, expectedVarience
1274,1559,1273,126174
1274,2984,1273,126174
1274,926,1273,126174
1274,1490,1273,126174
1274,794,1273,126174
1274,1310,1273,126174
1274,1242,1273,126174
1274,1718,1273,126174
1274,1093,1273,126174
1274,2002,1273,126174
2000,2411,1999,294551
2000,1784,1999,294551
2000,1131,1999,294551
2000,873,1999,294551
2000,926,1999,294551
2000,2118,1999,294551
2000,1931,1999,294551
2000,1981,1999,294551
2000,1419,1999,294551
2000,1711,1999,294551
2000,2206,1999,294551
2000,1493,1999,294551
2000,1129,1999,294551
2000,1872,1999,294551
2000,1989,1999,294551
2000,2880,1999,294551
2000,1123,1999,294551
2000,3017,1999,294551
2000,1884,1999,294551
2000,1322,1999,294551
3000,2689,2998,632414
3000,2320,2998,632414
3000,1629,2998,632414
3000,1322,2998,632414
3000,2952,2998,632414
3000,2180,2998,632414
3000,2567,2998,632414
3000,3689,2998,632414
3000,1610,2998,632414
3000,3495,2998,632414
3000,3397,2998,632414
3000,1920,2998,632414
3000,2348,2998,632414
3000,2454,2998,632414
3000,3007,2998,632414
3000,2410,2998,632414
3000,3465,2998,632414
3000,1214,2998,632414
3000,2423,2998,632414
3000,2466,2998,632414
4000,5090,3999,1088731
4000,5090,3999,1088731
4000,6615,3999,1088731
4000,4060,3999,1088731
4000,3589,3999,1088731
4000,2655,3999,1088731
4000,4001,3999,1088731
4000,3883,3999,1088731
4000,7881,3999,1088731
4000,4008,3999,1088731
4000,4325,3999,1088731
4000,6730,3999,1088731
4000,4791,3999,1088731
4000,3423,3999,1088731
4000,5260,3999,1088731
4000,2240,3999,1088731
4000,7681,3999,1088731
4000,2933,3999,1088731
4000,4295,3999,1088731
4000,3355,3999,1088731
5000,3872,4998,1660285
5000,2602,4998,1660285
5000,2756,4998,1660285
5000,5769,4998,1660285
5000,5344,4998,1660285
5000,11123,4998,1660285
5000,4121,4998,1660285
5000,2427,4998,1660285
5000,5980,4998,1660285
5000,4986,4998,1660285
5000,4463,4998,1660285
5000,4006,4998,1660285
5000,9972,4998,1660285
5000,7817,4998,1660285
5000,3273,4998,1660285
5000,5067,4998,1660285
5000,2293,4998,1660285
5000,2743,4998,1660285
5000,3590,4998,1660285
5000,2928,4998,1660285
6000,4124,5998,2344716
6000,6099,5998,2344716
6000,4685,5998,2344716
6000,5307,5998,2344716
6000,6951,5998,2344716
6000,9139,5998,2344716
6000,8086,5998,2344716
6000,6536,5998,2344716
6000,5825,5998,2344716
6000,4139,5998,2344716
6000,7949,5998,2344716
6000,9539,5998,2344716
6000,6686,5998,2344716
6000,5039,5998,2344716
6000,8424,5998,2344716
6000,3886,5998,2344716
6000,7516,5998,2344716
6000,3374,5998,2344716
6000,3627,5998,2344716
6000,5246,5998,2344716
7000,6641,6998,3140177
7000,9202,6998,3140177
7000,4507,6998,3140177
7000,5965,6998,3140177
7000,6758,6998,3140177
7000,4253,6998,3140177
7000,5489,6998,3140177
7000,9654,6998,3140177
7000,5389,6998,3140177
7000,4741,6998,3140177
7000,5096,6998,3140177
7000,11916,6998,3140177
7000,4964,6998,3140177
7000,5701,6998,3140177
7000,8375,6998,3140177
7000,3645,6998,3140177
7000,6888,6998,3140177
7000,4203,6998,3140177
7000,6667,6998,3140177
7000,5439,6998,3140177
8000,9035,7999,4045152
8000,9895,7999,4045152
8000,5449,7999,4045152
8000,4446,7999,4045152
8000,7298,7999,4045152
8000,5759,7999,4045152
8000,4562,7999,4045152
8000,14056,7999,4045152
8000,4621,7999,4045152
8000,5905,7999,4045152
8000,5704,7999,4045152
8000,4582,7999,4045152
8000,6865,7999,4045152
8000,11800,7999,4045152
8000,4740,7999,4045152
8000,3737,7999,4045152
8000,5167,7999,4045152
8000,5379,7999,4045152
8000,4951,7999,4045152
8000,2542,7999,4045152
9000,7499,8999,5058369
9000,12236,8999,5058369
9000,9989,8999,5058369
9000,7179,8999,5058369
9000,7337,8999,5058369
9000,7850,8999,5058369
9000,12166,8999,5058369
9000,8641,8999,5058369
9000,17600,8999,5058369
9000,8669,8999,5058369
9000,5248,8999,5058369
9000,10358,8999,5058369
9000,10175,8999,5058369
9000,5437,8999,5058369
9000,5253,8999,5058369
9000,13868,8999,5058369
9000,7351,8999,5058369
9000,14700,8999,5058369
9000,5930,8999,5058369
9000,10149,8999,5058369
