vertices,edges,expectedEdges, expectedVarience
10,7,9,10
10,9,9,10
10,10,9,10
10,8,9,10
10,7,9,10
10,15,9,10
10,13,9,10
10,18,9,10
10,10,9,10
10,15,9,10
10,9,9,10
10,5,9,10
10,10,9,10
10,8,9,10
10,11,9,10
10,12,9,10
10,3,9,10
10,6,9,10
10,10,9,10
10,12,9,10
16,18,15,29
16,16,15,29
16,23,15,29
16,12,15,29
16,2,15,29
16,9,15,29
16,21,15,29
16,20,15,29
16,12,15,29
16,16,15,29
16,10,15,29
16,16,15,29
16,13,15,29
16,11,15,29
16,13,15,29
16,17,15,29
16,16,15,29
16,19,15,29
16,24,15,29
16,18,15,29
26,46,25,79
26,11,25,79
26,19,25,79
26,16,25,79
26,43,25,79
26,20,25,79
26,57,25,79
26,27,25,79
26,22,25,79
26,22,25,79
26,31,25,79
26,32,25,79
26,26,25,79
26,26,25,79
26,30,25,79
26,0,25,79
26,15,25,79
26,21,25,79
26,37,25,79
26,30,25,79
42,90,41,205
42,23,41,205
42,30,41,205
42,18,41,205
42,10,41,205
42,30,41,205
42,39,41,205
42,50,41,205
42,66,41,205
42,54,41,205
42,25,41,205
42,49,41,205
42,30,41,205
42,18,41,205
42,46,41,205
42,21,41,205
42,52,41,205
42,64,41,205
42,57,41,205
42,21,41,205
69,30,68,532
69,77,68,532
69,59,68,532
69,88,68,532
69,134,68,532
69,63,68,532
69,60,68,532
69,31,68,532
69,93,68,532
69,174,68,532
69,157,68,532
69,109,68,532
69,43,68,532
69,30,68,532
69,86,68,532
69,39,68,532
69,38,68,532
69,60,68,532
69,86,68,532
69,32,68,532
112,118,111,1330
112,69,111,1330
112,137,111,1330
112,141,111,1330
112,136,111,1330
112,96,111,1330
112,122,111,1330
112,139,111,1330
112,138,111,1330
112,71,111,1330
112,31,111,1330
112,152,111,1330
112,54,111,1330
112,132,111,1330
112,238,111,1330
112,84,111,1330
112,130,111,1330
112,103,111,1330
112,128,111,1330
112,38,111,1330
183,192,181,3342
183,113,181,3342
183,42,181,3342
183,107,181,3342
183,89,181,3342
183,65,181,3342
183,107,181,3342
183,245,181,3342
183,104,181,3342
183,172,181,3342
183,102,181,3342
183,215,181,3342
183,132,181,3342
183,168,181,3342
183,212,181,3342
183,224,181,3342
183,245,181,3342
183,59,181,3342
183,153,181,3342
183,321,181,3342
297,152,295,8265
297,207,295,8265
297,140,295,8265
297,446,295,8265
297,393,295,8265
297,370,295,8265
297,93,295,8265
297,212,295,8265
297,283,295,8265
297,342,295,8265
297,198,295,8265
297,276,295,8265
297,256,295,8265
297,221,295,8265
297,304,295,8265
297,154,295,8265
297,104,295,8265
297,178,295,8265
297,121,295,8265
297,177,295,8265
483,241,482,20509
483,381,482,20509
483,294,482,20509
483,692,482,20509
483,426,482,20509
483,562,482,20509
483,552,482,20509
483,642,482,20509
483,649,482,20509
483,292,482,20509
483,402,482,20509
483,585,482,20509
483,771,482,20509
483,642,482,20509
483,543,482,20509
483,430,482,20509
483,565,482,20509
483,405,482,20509
483,756,482,20509
483,283,482,20509
784,486,782,50768
784,1100,782,50768
784,413,782,50768
784,584,782,50768
784,747,782,50768
784,530,782,50768
784,783,782,50768
784,1003,782,50768
784,1273,782,50768
784,734,782,50768
784,1386,782,50768
784,579,782,50768
784,911,782,50768
784,835,782,50768
784,565,782,50768
784,708,782,50768
784,1108,782,50768
784,879,782,50768
784,1206,782,50768
784,848,782,50768
1274,1141,1273,126174
1274,1000,1273,126174
1274,1116,1273,126174
1274,1782,1273,126174
1274,1345,1273,126174
1274,2626,1273,126174
1274,751,1273,126174
1274,1091,1273,126174
1274,874,1273,126174
1274,591,1273,126174
